dc_bus_ripple_voltage_V,capacitor_esr_mOhm,junction_temp_C,mosfet_on_resistance_mOhm,conversion_efficiency_pct,heatsink_temp_C,command_fan_rpm,actual_fan_rpm,thd_pct,mains_surges_count,health_state
4.82,9.24,46.57,5.09,98.3,38.69,2000,1985,1.33,0,0
5.26,9.25,45.21,4.94,98.77,39.46,2000,1997,1.67,0,0
19.63,34.73,89.84,10.64,87.13,93.91,4000,2453,10.95,9,3
12.36,24.91,72.88,7.34,93.49,73.75,3500,2748,5.63,5,2
5.01,10.66,43.03,5.16,98.76,39.19,1500,1488,1.55,1,0
8.45,14.39,57.15,5.75,96.05,50.19,3000,2870,3.16,0,1
6.81,12.28,54.43,5.54,96.16,50.35,2500,2275,2.96,1,1
7.71,12.17,52.03,5.81,96.26,53.96,3000,2753,2.82,1,1
7.48,15.65,55.15,5.69,95.24,53.18,2000,1898,3.04,1,1
8.44,15.74,56.04,5.52,95.42,50.49,3000,2751,2.63,0,1
8.3,13.36,56.94,5.89,96.0,52.68,2500,2281,2.92,0,1
11.39,22.45,71.43,7.97,92.6,72.05,3500,2699,5.4,4,2
7.99,12.4,57.56,5.61,96.43,53.33,3000,2782,2.89,0,1
8.23,12.29,55.71,5.92,95.82,51.37,3000,2840,2.72,2,1
13.03,20.02,71.58,7.31,92.73,68.38,3500,2759,4.73,3,2
11.2,22.78,78.52,7.49,91.41,69.12,3500,2757,5.73,3,2
13.48,21.32,70.22,7.39,92.89,72.2,3500,2627,5.82,2,2
13.38,21.44,75.67,7.44,92.62,73.77,3500,2896,4.93,4,2
5.21,9.63,44.27,5.07,98.33,39.37,2500,2450,1.47,0,0
20.14,32.11,95.6,9.11,85.84,90.52,4000,1509,9.51,7,3
20.93,33.25,101.9,10.5,84.25,90.47,4000,2009,9.42,7,3
16.79,31.13,93.54,9.97,85.04,88.38,4000,2450,10.28,9,3
16.52,34.62,102.47,10.81,84.11,85.92,4000,1588,9.55,9,3
12.6,20.46,74.69,7.48,91.31,69.92,3500,2521,6.44,3,2
11.94,23.23,79.65,7.9,92.29,71.73,3500,2559,6.49,2,2
4.82,9.28,45.53,5.17,98.59,38.23,1500,1455,1.64,0,0
5.26,9.94,43.63,5.2,98.24,38.52,2000,1972,1.36,0,0
20.38,39.53,95.25,10.67,85.14,90.97,4000,1502,9.82,7,3
5.04,9.44,45.7,5.04,98.49,38.98,2500,2482,1.49,1,0
5.17,10.26,44.04,5.16,98.29,39.34,1500,1503,1.51,0,0
10.98,21.31,76.36,7.03,91.2,70.87,3500,2580,5.51,5,2
7.02,15.76,54.33,5.95,95.84,50.32,3000,2717,2.85,2,1
11.84,23.27,74.19,7.66,90.67,70.44,3500,2734,6.23,2,2
11.91,21.96,79.77,7.11,91.06,69.31,3500,2797,4.8,2,2
7.6,14.51,55.46,5.79,96.72,53.51,2000,1882,2.79,2,1
7.8,14.23,56.42,5.51,96.58,51.66,2000,1783,2.85,1,1
5.0,10.07,44.03,5.03,98.55,38.69,2500,2458,1.57,1,0
10.88,19.13,73.77,7.68,93.29,67.08,3500,2893,5.85,4,2
7.18,12.68,56.97,5.94,96.65,50.81,2000,1805,2.88,3,1
4.99,10.19,43.95,4.9,98.4,41.16,2500,2500,1.56,1,0
22.66,31.41,95.21,10.56,87.71,85.71,4000,2408,9.01,6,3
4.93,10.24,46.42,4.84,98.68,41.13,2000,2009,1.53,1,0
5.27,10.06,44.81,5.14,98.47,41.21,2000,2001,1.46,0,0
5.44,10.58,46.15,5.14,98.72,38.04,2000,2031,1.31,1,0
11.8,23.75,76.42,7.49,91.56,69.99,3500,2840,5.9,6,2
4.87,10.56,43.65,4.85,98.58,39.97,2500,2495,1.54,0,0
12.82,24.28,79.17,7.83,92.66,69.91,3500,2621,5.85,6,2
16.79,31.07,91.25,9.7,87.55,89.78,4000,2169,8.66,8,3
5.06,9.89,45.22,4.96,98.34,41.31,1500,1466,1.61,1,0
20.99,37.63,88.4,9.99,83.68,93.27,4000,1787,8.59,8,3
4.81,10.42,45.82,4.85,98.21,41.96,2500,2521,1.63,1,0
4.8,10.52,46.59,4.84,98.31,38.86,1500,1482,1.69,0,0
6.75,13.41,52.68,5.74,95.41,52.71,2000,1868,3.0,3,1
11.04,19.4,74.03,7.67,92.19,66.74,3500,2622,5.34,4,2
5.34,10.2,43.57,5.09,98.54,41.51,2000,2039,1.62,1,0
10.73,21.57,78.0,7.05,91.25,71.55,3500,2707,5.3,2,2
11.79,23.13,72.59,7.75,91.18,66.07,3500,2603,6.44,5,2
8.43,12.63,55.52,5.51,95.6,54.0,2500,2380,3.21,3,1
5.47,9.65,43.18,5.2,98.29,38.76,2500,2504,1.37,1,0
17.14,33.12,97.36,10.93,84.72,86.26,4000,1980,7.9,6,3
5.1,9.68,46.9,4.87,98.58,41.77,1500,1538,1.59,0,0
7.88,12.52,57.25,5.98,96.42,49.23,2500,2348,3.04,1,1
